"annee","cla_age_5","sexe","Ntop_national","Npop_national","prev_national"
"2015","00-04","9","0","3139760","0.00"
"2015","05-09","9","0","3300180","0.00"
"2015","10-14","9","0","3232430","0.00"
"2015","15-19","9","0","3145990","0.00"
"2015","20-24","9","0","2995680","0.00"
"2015","25-29","9","0","3244970","0.00"
"2015","30-34","9","0","3355260","0.00"
"2015","35-39","9","140","3304650","0.00"
"2015","40-44","9","690","3603990","0.02"
"2015","45-49","9","2470","3654780","0.07"
"2015","50-54","9","5170","3663070","0.14"
"2015","55-59","9","9560","3495690","0.27"
"2015","60-64","9","12750","3396350","0.38"
"2015","65-69","9","14370","3366690","0.43"
"2015","70-74","9","10520","2165470","0.49"
"2015","75-79","9","8660","1922220","0.45"
"2015","80-84","9","6420","1693350","0.38"
"2015","85-89","9","3440","1194180","0.29"
"2015","90-94","9","680","610480","0.11"
"2015","95et+","9","0","162610","0.00"
"2016","00-04","9","0","3108950","0.00"
"2016","05-09","9","0","3327590","0.00"
"2016","10-14","9","0","3269810","0.00"
"2016","15-19","9","0","3203540","0.00"
"2016","20-24","9","0","3021000","0.00"
"2016","25-29","9","0","3257170","0.00"
"2016","30-34","9","10","3366650","0.00"
"2016","35-39","9","120","3403550","0.00"
"2016","40-44","9","680","3518850","0.02"
"2016","45-49","9","2400","3706240","0.06"
"2016","50-54","9","5130","3714840","0.14"
"2016","55-59","9","9560","3561340","0.27"
"2016","60-64","9","13340","3442200","0.39"
"2016","65-69","9","15070","3422520","0.44"
"2016","70-74","9","12070","2425770","0.50"
"2016","75-79","9","9050","1894350","0.48"
"2016","80-84","9","6740","1705530","0.40"
"2016","85-89","9","3660","1234210","0.30"
"2016","90-94","9","850","631880","0.13"
"2016","95et+","9","20","192190","0.01"
"2017","00-04","9","0","3052820","0.00"
"2017","05-09","9","0","3308990","0.00"
"2017","10-14","9","0","3270020","0.00"
"2017","15-19","9","0","3216190","0.00"
"2017","20-24","9","0","3024150","0.00"
"2017","25-29","9","0","3239000","0.00"
"2017","30-34","9","10","3344750","0.00"
"2017","35-39","9","90","3449310","0.00"
"2017","40-44","9","600","3422440","0.02"
"2017","45-49","9","2370","3746360","0.06"
"2017","50-54","9","5220","3724410","0.14"
"2017","55-59","9","9380","3573900","0.26"
"2017","60-64","9","13760","3445670","0.40"
"2017","65-69","9","15940","3419410","0.47"
"2017","70-74","9","13480","2655000","0.51"
"2017","75-79","9","9550","1893700","0.50"
"2017","80-84","9","6990","1696450","0.41"
"2017","85-89","9","3840","1263660","0.30"
"2017","90-94","9","810","647600","0.13"
"2017","95et+","9","10","215100","0.00"
"2018","00-04","9","0","3014370","0.00"
"2018","05-09","9","0","3300820","0.00"
"2018","10-14","9","0","3305830","0.00"
"2018","15-19","9","0","3242310","0.00"
"2018","20-24","9","0","3077150","0.00"
"2018","25-29","9","0","3205060","0.00"
"2018","30-34","9","10","3380940","0.00"
"2018","35-39","9","90","3469190","0.00"
"2018","40-44","9","600","3347850","0.02"
"2018","45-49","9","2450","3777120","0.06"
"2018","50-54","9","5190","3716310","0.14"
"2018","55-59","9","9500","3619110","0.26"
"2018","60-64","9","14210","3465420","0.41"
"2018","65-69","9","16330","3398060","0.48"
"2018","70-74","9","15040","2864440","0.53"
"2018","75-79","9","10200","1924580","0.53"
"2018","80-84","9","7240","1699890","0.43"
"2018","85-89","9","4040","1278510","0.32"
"2018","90-94","9","930","665950","0.14"
"2018","95et+","9","20","233950","0.01"
"2019","00-04","9","0","2958210","0.00"
"2019","05-09","9","0","3279570","0.00"
"2019","10-14","9","0","3332420","0.00"
"2019","15-19","9","0","3260350","0.00"
"2019","20-24","9","0","3110720","0.00"
"2019","25-29","9","0","3163730","0.00"
"2019","30-34","9","10","3386740","0.00"
"2019","35-39","9","90","3472900","0.00"
"2019","40-44","9","570","3320740","0.02"
"2019","45-49","9","2460","3747000","0.07"
"2019","50-54","9","5240","3692830","0.14"
"2019","55-59","9","9190","3647910","0.25"
"2019","60-64","9","14400","3484570","0.41"
"2019","65-69","9","17070","3383540","0.50"
"2019","70-74","9","16080","3064110","0.52"
"2019","75-79","9","10820","1958070","0.55"
"2019","80-84","9","7370","1696700","0.43"
"2019","85-89","9","4080","1296760","0.31"
"2019","90-94","9","1050","680940","0.15"
"2019","95et+","9","10","247160","0.00"
"2020","00-04","9","0","2867670","0.00"
"2020","05-09","9","0","3162710","0.00"
"2020","10-14","9","0","3303160","0.00"
"2020","15-19","9","0","3229830","0.00"
"2020","20-24","9","0","3180180","0.00"
"2020","25-29","9","0","3173500","0.00"
"2020","30-34","9","10","3400140","0.00"
"2020","35-39","9","100","3457600","0.00"
"2020","40-44","9","650","3381480","0.02"
"2020","45-49","9","2170","3671920","0.06"
"2020","50-54","9","5190","3693780","0.14"
"2020","55-59","9","9120","3671230","0.25"
"2020","60-64","9","14300","3491220","0.41"
"2020","65-69","9","17340","3353690","0.52"
"2020","70-74","9","17350","3244970","0.53"
"2020","75-79","9","11360","2010690","0.56"
"2020","80-84","9","7450","1671050","0.45"
"2020","85-89","9","4010","1291350","0.31"
"2020","90-94","9","1110","704120","0.16"
"2020","95et+","9","40","260650","0.02"
"2021","00-04","9","0","2894750","0.00"
"2021","05-09","9","0","3265570","0.00"
"2021","10-14","9","0","3457130","0.00"
"2021","15-19","9","0","3414000","0.00"
"2021","20-24","9","0","3464020","0.00"
"2021","25-29","9","0","3393300","0.00"
"2021","30-34","9","20","3587610","0.00"
"2021","35-39","9","120","3625660","0.00"
"2021","40-44","9","760","3618290","0.02"
"2021","45-49","9","2170","3697110","0.06"
"2021","50-54","9","5340","3838930","0.14"
"2021","55-59","9","9140","3804340","0.24"
"2021","60-64","9","14320","3605310","0.40"
"2021","65-69","9","18150","3416360","0.53"
"2021","70-74","9","17970","3292590","0.55"
"2021","75-79","9","12790","2244490","0.57"
"2021","80-84","9","7420","1633900","0.45"
"2021","85-89","9","4090","1288380","0.32"
"2021","90-94","9","1190","716690","0.17"
"2021","95et+","9","20","268240","0.01"
"2022","00-04","9","0","2900720","0.00"
"2022","05-09","9","0","3269410","0.00"
"2022","10-14","9","0","3514900","0.00"
"2022","15-19","9","0","3469140","0.00"
"2022","20-24","9","0","3496950","0.00"
"2022","25-29","9","0","3376810","0.00"
"2022","30-34","9","20","3567110","0.00"
"2022","35-39","9","80","3624060","0.00"
"2022","40-44","9","680","3688960","0.02"
"2022","45-49","9","2150","3619530","0.06"
"2022","50-54","9","5200","3894860","0.13"
"2022","55-59","9","9350","3817580","0.24"
"2022","60-64","9","14480","3628100","0.40"
"2022","65-69","9","18960","3425570","0.55"
"2022","70-74","9","19100","3290700","0.58"
"2022","75-79","9","14250","2458580","0.58"
"2022","80-84","9","7950","1631890","0.49"
"2022","85-89","9","4260","1279890","0.33"
"2022","90-94","9","1170","731640","0.16"
"2022","95et+","9","40","275410","0.01"
"2023","00-04","9","0","2811650","0.00"
"2023","05-09","9","0","3122620","0.00"
"2023","10-14","9","0","3377930","0.00"
"2023","15-19","9","0","3378200","0.00"
"2023","20-24","9","0","3373470","0.00"
"2023","25-29","9","0","3276750","0.00"
"2023","30-34","9","20","3395160","0.00"
"2023","35-39","9","120","3541720","0.00"
"2023","40-44","9","750","3596930","0.02"
"2023","45-49","9","2120","3452110","0.06"
"2023","50-54","9","5260","3841720","0.14"
"2023","55-59","9","9660","3741080","0.26"
"2023","60-64","9","14880","3621950","0.41"
"2023","65-69","9","19880","3414930","0.58"
"2023","70-74","9","20230","3248050","0.62"
"2023","75-79","9","16050","2639420","0.61"
"2023","80-84","9","8640","1653140","0.52"
"2023","85-89","9","4530","1274990","0.36"
"2023","90-94","9","1340","732020","0.18"
"2023","95et+","9","50","276920","0.02"
