sexe_annee_dpt,annee,top,cla_age_5,sexe,region,dept,Ntop,Npop,prev,Niveau prioritaire,tri
9_2023_13,2023,TPS_ADR_EXC,05-09,9,93,13,0,124780,0,2,3,52
1_2023_13,2023,TPS_ADR_EXC,10-14,1,93,13,40,65670,0.058,2,3,52
2_2023_13,2023,TPS_ADR_EXC,10-14,2,93,13,60,62750,0.1,2,3,52
1_2023_13,2023,TPS_ADR_EXC,20-24,1,93,13,650,61060,1.061,2,3,52
2_2023_13,2023,TPS_ADR_EXC,20-24,2,93,13,1530,64020,2.393,2,3,52
2_2023_13,2023,TPS_ADR_EXC,25-29,2,93,13,2040,67160,3.03,2,3,52
1_2023_13,2023,TPS_ADR_EXC,30-34,1,93,13,1400,65320,2.14,2,3,52
2_2023_13,2023,TPS_ADR_EXC,35-39,2,93,13,3570,72550,4.924,2,3,52
1_2023_13,2023,TPS_ADR_EXC,40-44,1,93,13,2340,66020,3.543,2,3,52
9_2023_13,2023,TPS_ADR_EXC,40-44,9,93,13,7000,137930,5.078,2,3,52
9_2023_13,2023,TPS_ADR_EXC,45-49,9,93,13,8200,130980,6.263,2,3,52
9_2023_13,2023,TPS_ADR_EXC,55-59,9,93,13,12090,139700,8.654,2,3,52
1_2023_13,2023,TPS_ADR_EXC,60-64,1,93,13,3540,61110,5.789,2,3,52
1_2023_13,2023,TPS_ADR_EXC,65-69,1,93,13,2780,53110,5.227,2,3,52
2_2023_13,2023,TPS_ADR_EXC,65-69,2,93,13,6200,60570,10.241,2,3,52
9_2023_13,2023,TPS_ADR_EXC,65-69,9,93,13,8980,113690,7.898,2,3,52
2_2023_13,2023,TPS_ADR_EXC,80-84,2,93,13,5740,35060,16.362,2,3,52
9_2023_13,2023,TPS_ADR_EXC,80-84,9,93,13,8120,61490,13.212,2,3,52
1_2023_13,2023,TPS_ADR_EXC,85-89,1,93,13,1890,16420,11.523,2,3,52
2_2023_13,2023,TPS_ADR_EXC,85-89,2,93,13,5070,26690,18.983,2,3,52
2_2023_13,2023,TPS_ADR_EXC,95et+,2,93,13,1620,7340,22.004,2,3,52
9_2023_13,2023,TPS_ADR_EXC,tsage,9,93,13,113900,2149680,5.298,2,3,52
1_2019_13,2019,TPS_ADR_EXC,00-04,1,93,13,0,62320,0,2,3,52
2_2019_13,2019,TPS_ADR_EXC,00-04,2,93,13,0,59000,0,2,3,52
1_2019_13,2019,TPS_ADR_EXC,05-09,1,93,13,0,65240,0,2,3,52
1_2019_13,2019,TPS_ADR_EXC,10-14,1,93,13,20,62560,0.027,2,3,52
1_2019_13,2019,TPS_ADR_EXC,25-29,1,93,13,760,57740,1.308,2,3,52
2_2019_13,2019,TPS_ADR_EXC,25-29,2,93,13,1270,65360,1.937,2,3,52
