sexe_annee_dpt,annee,top,cla_age_5,sexe,dept,Npop,prev
1_2015_01,2015,,00-04,1,01,18340,0
2_2015_01,2015,,00-04,2,01,17430,0
9_2015_01,2015,,00-04,9,01,35770,0
1_2015_01,2015,,05-09,1,01,19990,0
2_2015_01,2015,,05-09,2,01,18840,0
9_2015_01,2015,,05-09,9,01,38830,0.028
1_2015_01,2015,,10-14,1,01,19650,0.122
2_2015_01,2015,,10-14,2,01,18500,0.097
9_2015_01,2015,,10-14,9,01,38150,0.11
1_2015_01,2015,,15-19,1,01,17800,0.303
2_2015_01,2015,,15-19,2,01,17730,0.632
9_2015_01,2015,,15-19,9,01,35530,0.467
1_2015_01,2015,,20-24,1,01,14170,0.522
2_2015_01,2015,,20-24,2,01,15400,1.208
9_2015_01,2015,,20-24,9,01,29560,0.879
1_2015_01,2015,,25-29,1,01,15130,1.097
2_2015_01,2015,,25-29,2,01,16930,2.109
9_2015_01,2015,,25-29,9,01,32050,1.632
1_2015_01,2015,,30-34,1,01,16510,1.744
2_2015_01,2015,,30-34,2,01,18590,3.158
9_2015_01,2015,,30-34,9,01,35100,2.493
1_2015_01,2015,,35-39,1,01,16890,2.552
2_2015_01,2015,,35-39,2,01,19060,4.912
9_2015_01,2015,,35-39,9,01,35950,3.803
1_2015_01,2015,,40-44,1,01,19220,3.076
2_2015_01,2015,,40-44,2,01,20900,6.862
9_2015_01,2015,,40-44,9,01,40110,5.048
1_2015_01,2015,,45-49,1,01,19790,3.709
2_2015_01,2015,,45-49,2,01,20720,8.562
9_2015_01,2015,,45-49,9,01,40510,6.191
1_2015_01,2015,,50-54,1,01,19430,4.374
2_2015_01,2015,,50-54,2,01,20170,9.342
9_2015_01,2015,,50-54,9,01,39600,6.904
1_2015_01,2015,,55-59,1,01,17380,5.121
2_2015_01,2015,,55-59,2,01,18160,10.009
9_2015_01,2015,,55-59,9,01,35540,7.619
1_2015_01,2015,,60-64,1,01,16360,4.543
2_2015_01,2015,,60-64,2,01,16930,10.08
9_2015_01,2015,,60-64,9,01,33290,7.36
1_2015_01,2015,,65-69,1,01,15620,4.987
2_2015_01,2015,,65-69,2,01,16260,9.89
9_2015_01,2015,,65-69,9,01,31880,7.487
1_2015_01,2015,,70-74,1,01,10260,5.534
2_2015_01,2015,,70-74,2,01,10940,11.769
9_2015_01,2015,,70-74,9,01,21210,8.752
1_2015_01,2015,,75-79,1,01,7770,6.975
2_2015_01,2015,,75-79,2,01,9070,12.442
9_2015_01,2015,,75-79,9,01,16840,9.919
1_2015_01,2015,,80-84,1,01,5860,8.373
2_2015_01,2015,,80-84,2,01,8530,12.651
9_2015_01,2015,,80-84,9,01,14390,10.908
1_2015_01,2015,,85-89,1,01,3760,9.301
2_2015_01,2015,,85-89,2,01,6610,14.242
9_2015_01,2015,,85-89,9,01,10370,12.449
1_2015_01,2015,,90-94,1,01,1590,9.572
2_2015_01,2015,,90-94,2,01,3800,14.7
9_2015_01,2015,,90-94,9,01,5380,13.187
1_2015_01,2015,,95et+,1,01,280,11.191
2_2015_01,2015,,95et+,2,01,1120,12.923
9_2015_01,2015,,95et+,9,01,1400,12.58
1_2015_01,2015,,tsage,1,01,275800,2.816
2_2015_01,2015,,tsage,2,01,295660,5.94
9_2015_01,2015,,tsage,9,01,571470,4.432
1_2015_02,2015,,00-04,1,02,15830,0
2_2015_02,2015,,00-04,2,02,15290,0
9_2015_02,2015,,00-04,9,02,31120,0
1_2015_02,2015,,05-09,1,02,16910,0
2_2015_02,2015,,05-09,2,02,16040,0
9_2015_02,2015,,05-09,9,02,32950,0
1_2015_02,2015,,10-14,1,02,16710,0.078
2_2015_02,2015,,10-14,2,02,16000,0.1
9_2015_02,2015,,10-14,9,02,32710,0.089
1_2015_02,2015,,15-19,1,02,15860,0.158
2_2015_02,2015,,15-19,2,02,16140,0.477
9_2015_02,2015,,15-19,9,02,31990,0.319
1_2015_02,2015,,20-24,1,02,13100,0.595
2_2015_02,2015,,20-24,2,02,13850,1.185
9_2015_02,2015,,20-24,9,02,26940,0.898
1_2015_02,2015,,25-29,1,02,13990,1.322
2_2015_02,2015,,25-29,2,02,15340,2.126
9_2015_02,2015,,25-29,9,02,29330,1.742
1_2015_02,2015,,30-34,1,02,14560,1.951
2_2015_02,2015,,30-34,2,02,15690,3.997
9_2015_02,2015,,30-34,9,02,30240,3.012
1_2015_02,2015,,35-39,1,02,14280,2.766
